,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,mu_e,er_mu_e,R_e,er_R_e,n,er_n,mu_e_b,er_mu_e_b,R_e_b,er_R_e_b,n_b,er_n_b,q_b,m0_d,er_m0_d,R_d,er_R_d,q_d,D/T,er_dt,lam_sqrt_eps
127,NGC4461   ,0.68,0.392,0.306,G,0.486,0.405,0.511,0.43,F,F,21.36,0.22   ,47.1 ,5.9   ,3.9,0.5 ,22.53 ,0.32     ,82.0 ,16.5    ,7.5,1.4   ,0.79,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.777334140517
128,NGC4473   ,0.71,0.421,0.396,G,0.255,0.263,0.229,0.25,F,F,21.83,0.09   ,134.2,6.2   ,4.7,0.1 ,22.00 ,0.10     ,146.7,8.6     ,4.8,0.2   ,0.83,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.397276078852
129,NGC4474   ,0.72,0.57,0.468,G,0.439,0.347,0.446,0.353,F,F,20.67,0.14   ,38.2 ,2.6   ,5.7,0.5 ,18.80 ,0.31     ,12.6 ,3.1     ,3.1,0.8   ,0.61,20.21,0.05   ,38.6,1.3   ,0.54,0.42,0.085,0.516002468026
130,NGC4477   ,0.44,0.135,0.135,C,0.216,0.216,0.221,0.221,F,F,21.06,0.07   ,16.7 ,0.5   ,4.5,0.3 ,20.58 ,0.06     ,14.0 ,0.4     ,4.1,0.3   ,0.64,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.601485814617
131,NGC4478   ,0.98,0.165,0.175,G,0.221,0.175,0.233,0.177,F,F,21.35,0.33   ,41.4 ,8.5   ,4.1,1.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.423110927704
132,NGC4483   ,1.02,0.346,0.251,G,0.474,0.271,0.465,0.273,F,F,19.56,0.03   ,13.0 ,0.2   ,2.0,0.1 ,19.93 ,0.25     ,14.3 ,0.9     ,1.9,0.1   ,0.81,18.66,0.03   ,5.4,3.1   ,0.83,0.15,0.087,0.544911265118
133,NGC4486A  ,1.96,0.224,0.224,G,0.379,0.379,0.351,0.351,F,F,20.9,0.13   ,74.2 ,5.0   ,2.9,0.2 ,21.56 ,0.14     ,97.4 ,7.1     ,4.1,0.3   ,0.89,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.741622858524
134,NGC4489   ,0.62,0.085,0.075,G,0.176,0.125,0.168,0.117,F,F,18.49,0.53   ,5.0  ,1.2   ,3.7,0.8 ,18.49 ,0.53     ,5.0  ,1.2     ,3.7,0.8   ,0.85,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.427223594854
135,NGC4494   ,0.48,0.173,0.173,G,0.219,0.219,0.212,0.212,F,F,21.52,0.16   ,20.0 ,1.6   ,2.3,0.5 ,19.80 ,0.38     ,4.8  ,1.0     ,2.5,1.6   ,0.94,20.18,0.06   ,15.0,0.5   ,0.92,0.7,0.108,0.509697859044
136,NGC4503   ,0.61,0.446,0.429,G,0.51,0.451,0.523,0.47,F,F,21.03,0.13   ,45.0 ,3.1   ,3.4,0.3 ,20.86 ,0.08     ,42.5 ,1.4     ,2.7,0.2   ,0.82,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.717578159449
